2016-08-18_17:45:38.228 INFO  171324975 245994450 
2016-08-18_17:45:38.332 INFO  171325875 245995475 
2016-08-18_17:45:38.438 INFO  171326750 245996500 
2016-08-18_17:45:38.690 INFO  171328400 245999100 
2016-08-18_17:45:38.792 INFO  171329300 246000050 
2016-08-18_17:45:38.896 INFO  171330225 246001100 
2016-08-18_17:45:39.179 INFO  171332050 246003850 
2016-08-18_17:45:39.279 INFO  171332225 246004775 
2016-08-18_17:45:39.380 INFO  171332475 246005775 
2016-08-18_17:45:39.659 INFO  171334325 246008500 
2016-08-18_17:45:39.759 INFO  171335250 246009475 
2016-08-18_17:45:39.860 INFO  171335875 246010250 
2016-08-18_17:45:40.110 INFO  171337450 246012525 
2016-08-18_17:45:40.210 INFO  171338375 246013525 
2016-08-18_17:45:40.312 INFO  171339175 246014525 
2016-08-18_17:45:40.543 INFO  171340575 246016800 
2016-08-18_17:45:40.645 INFO  171341375 246017750 
2016-08-18_17:45:40.747 INFO  171342275 246018800 
2016-08-18_17:45:40.974 INFO  171343875 246021075 
2016-08-18_17:45:41.077 INFO  171344775 246022050 
2016-08-18_17:45:41.181 INFO  171345625 246023050 
2016-08-18_17:45:41.386 INFO  171347025 246025050 
2016-08-18_17:45:41.488 INFO  171347750 246025950 
2016-08-18_17:45:41.605 INFO  171348425 246026850 
2016-08-18_17:45:41.862 INFO  171349750 246029400 
2016-08-18_17:45:41.962 INFO  171350650 246030350 
2016-08-18_17:45:42.079 INFO  171351525 246031450 
2016-08-18_17:45:42.253 INFO  171352750 246033150 
2016-08-18_17:45:42.355 INFO  171353625 246034150 
2016-08-18_17:45:42.459 INFO  171354475 246035100 
2016-08-18_17:45:42.636 INFO  171355700 246036875 
2016-08-18_17:45:42.737 INFO  171356625 246037850 
2016-08-18_17:45:42.838 INFO  171357475 246038800 
2016-08-18_17:45:43.052 INFO  171358950 246040950 
2016-08-18_17:45:43.154 INFO  171359850 246041850 
2016-08-18_17:45:43.255 INFO  171360700 246042850 
2016-08-18_17:45:43.465 INFO  171361975 246044925 
2016-08-18_17:45:43.567 INFO  171362625 246045900 
2016-08-18_17:45:43.688 INFO  171363150 246047025 
2016-08-18_17:45:43.876 INFO  171364375 246048900 
2016-08-18_17:45:43.978 INFO  171365300 246049875 
2016-08-18_17:45:44.081 INFO  171366175 246050800 
2016-08-18_17:45:44.289 INFO  171367575 246052875 
2016-08-18_17:45:44.390 INFO  171368500 246053900 
2016-08-18_17:45:44.509 INFO  171369425 246055000 
2016-08-18_17:45:44.716 INFO  171370925 246057125 
2016-08-18_17:45:44.818 INFO  171371825 246058075 
2016-08-18_17:45:44.920 INFO  171372550 246058900 
2016-08-18_17:45:45.184 INFO  171374325 246061525 
2016-08-18_17:45:45.286 INFO  171375250 246062500 
2016-08-18_17:45:45.397 INFO  171375950 246063450 
2016-08-18_17:45:45.584 INFO  171377175 246065300 
2016-08-18_17:45:45.686 INFO  171377900 246066075 
2016-08-18_17:45:45.789 INFO  171378675 246067000 
2016-08-18_17:45:46.004 INFO  171380175 246069125 
2016-08-18_17:45:46.105 INFO  171381075 246070025 
2016-08-18_17:45:46.208 INFO  171381950 246071050 
2016-08-18_17:45:46.432 INFO  171383450 246073300 
2016-08-18_17:45:46.533 INFO  171384325 246074250 
2016-08-18_17:45:46.636 INFO  171385175 246075200 
2016-08-18_17:45:46.901 INFO  171387225 246077900 
2016-08-18_17:45:47.001 INFO  171388100 246078875 
2016-08-18_17:45:47.104 INFO  171389000 246079900 
2016-08-18_17:45:47.298 INFO  171390275 246081825 
2016-08-18_17:45:47.400 INFO  171391175 246082800 
2016-08-18_17:45:47.502 INFO  171392050 246083750 
2016-08-18_17:45:47.714 INFO  171393575 246085875 
2016-08-18_17:45:47.817 INFO  171394500 246086850 
2016-08-18_17:45:47.923 INFO  171395375 246087900 
2016-08-18_17:45:48.101 INFO  171396625 246089650 
2016-08-18_17:45:48.203 INFO  171397575 246090700 
2016-08-18_17:45:48.473 INFO  171399525 246093250 
2016-08-18_17:45:48.574 INFO  171400425 246094200 
2016-08-18_17:45:48.676 INFO  171401325 246095275 
2016-08-18_17:45:48.862 INFO  171402600 246097075 
2016-08-18_17:45:48.965 INFO  171403525 246098075 
2016-08-18_17:45:49.080 INFO  171404450 246099150 
2016-08-18_17:45:49.258 INFO  171405675 246100900 
2016-08-18_17:45:49.359 INFO  171406525 246101850 
2016-08-18_17:45:49.474 INFO  171407400 246102900 
2016-08-18_17:45:49.652 INFO  171408575 246104700 
2016-08-18_17:45:49.752 INFO  171409500 246105650 
2016-08-18_17:45:49.874 INFO  171410525 246106825 
2016-08-18_17:45:50.051 INFO  171411750 246108600 
2016-08-18_17:45:50.154 INFO  171412625 246109500 
2016-08-18_17:45:50.258 INFO  171413500 246110525 
2016-08-18_17:45:50.439 INFO  171414475 246112050 
2016-08-18_17:45:50.540 INFO  171415325 246113000 
2016-08-18_17:45:50.646 INFO  171416225 246114000 
2016-08-18_17:45:50.875 INFO  171417750 246116250 
2016-08-18_17:45:50.976 INFO  171418675 246117225 
2016-08-18_17:45:51.077 INFO  171419550 246118225 
2016-08-18_17:45:51.335 INFO  171421325 246120800 
2016-08-18_17:45:51.436 INFO  171422250 246121750 
2016-08-18_17:45:51.555 INFO  171423175 246122950 
2016-08-18_17:45:51.727 INFO  171424375 246124625 
2016-08-18_17:45:51.830 INFO  171425325 246125625 
2016-08-18_17:45:51.943 INFO  171426200 246126650 
2016-08-18_17:45:52.124 INFO  171427475 246128500 
2016-08-18_17:45:52.226 INFO  171428425 246129475 
2016-08-18_17:45:52.341 INFO  171429325 246130550 
2016-08-18_17:45:52.518 INFO  171430525 246132300 
2016-08-18_17:45:52.619 INFO  171431400 246133225 
2016-08-18_17:45:52.888 INFO  171433375 246135925 
2016-08-18_17:45:52.991 INFO  171434325 246136900 
2016-08-18_17:45:53.102 INFO  171435225 246137950 
2016-08-18_17:45:53.280 INFO  171436450 246139750 
2016-08-18_17:45:53.381 INFO  171437350 246140700 
2016-08-18_17:45:53.484 INFO  171438175 246141625 
2016-08-18_17:45:53.657 INFO  171439375 246143375 
2016-08-18_17:45:53.759 INFO  171440300 246144325 
2016-08-18_17:45:53.873 INFO  171441175 246145375 
2016-08-18_17:45:54.045 INFO  171442400 246147075 
2016-08-18_17:45:54.148 INFO  171443375 246148125 
2016-08-18_17:45:54.416 INFO  171445350 246150800 
2016-08-18_17:45:54.517 INFO  171446200 246151725 
