2016-08-18_19:31:37.826 INFO   29325200 65.76228020635469 
2016-08-18_19:31:37.931 INFO   30485656 68.36462333237414 
2016-08-18_19:31:38.034 INFO   31446496 70.51932404416719 
2016-08-18_19:31:38.135 INFO   32556488 73.00850075671518 
2016-08-18_19:31:38.239 INFO   33853304 75.91663359700557 
2016-08-18_19:31:38.342 INFO   25475248 79.07096508905772 
2016-08-18_19:31:38.447 INFO   26518856 82.31015207301412 
2016-08-18_19:31:38.548 INFO   25804512 71.09458135809446 
2016-08-18_19:31:38.651 INFO   27044064 74.5096984706207 
2016-08-18_19:31:38.753 INFO   28183480 77.64892867628065 
2016-08-18_19:31:38.855 INFO   26821512 63.12778716298911 
2016-08-18_19:31:38.958 INFO   28161016 66.28047756373806 
2016-08-18_19:31:39.063 INFO   29404752 69.2077659841279 
2016-08-18_19:31:39.169 INFO   30617856 72.06295815668591 
2016-08-18_19:31:39.273 INFO   31724016 74.66644423339226 
2016-08-18_19:31:39.378 INFO   27556848 64.85849251999075 
2016-08-18_19:31:39.479 INFO   28641552 64.30597495867038 
2016-08-18_19:31:39.580 INFO   29699336 66.68091020714023 
2016-08-18_19:31:39.682 INFO   30848568 69.26116438518557 
2016-08-18_19:31:39.784 INFO   31931824 71.6932893346237 
2016-08-18_19:31:39.887 INFO   32946984 73.97252523423708 
2016-08-18_19:31:39.990 INFO   28617280 64.25147949612712 
2016-08-18_19:31:40.091 INFO   29529192 66.29890312165242 
2016-08-18_19:31:40.193 INFO   30525304 68.5353724766661 
2016-08-18_19:31:40.295 INFO   31868680 69.93127974232273 
2016-08-18_19:31:40.398 INFO   32917560 72.23289752806495 
2016-08-18_19:31:40.499 INFO   33977056 74.55781061394966 
2016-08-18_19:31:40.603 INFO   30076112 65.99774455149789 
2016-08-18_19:31:40.705 INFO   31121432 68.29155042423076 
2016-08-18_19:31:40.807 INFO   32261632 70.79355694480822 
2016-08-18_19:31:40.908 INFO   33300336 73.0728449477462 
2016-08-18_19:31:41.010 INFO   34414744 75.51825459744246 
2016-08-18_19:31:41.110 INFO   35455144 77.80126423084782 
2016-08-18_19:31:41.213 INFO   31430416 67.4423818368461 
2016-08-18_19:31:41.316 INFO   32562696 69.8719920623749 
2016-08-18_19:31:41.418 INFO   33410984 71.69222133339743 
2016-08-18_19:31:41.519 INFO   34542904 74.12105908243525 
2016-08-18_19:31:41.621 INFO   35523896 76.22604035417189 
2016-08-18_19:31:41.728 INFO   32041856 68.75439024139033 
2016-08-18_19:31:41.829 INFO   33065888 70.95172536915793 
2016-08-18_19:31:41.929 INFO   33884816 72.70895489080615 
2016-08-18_19:31:42.030 INFO   35014520 75.13303761788849 
2016-08-18_19:31:42.130 INFO   35988560 77.22310151027737 
2016-08-18_19:31:42.233 INFO   37079392 79.56377394247968 
2016-08-18_19:31:42.333 INFO   33034616 69.34903060117439 
2016-08-18_19:31:42.433 INFO   33917248 71.20192556376684 
2016-08-18_19:31:42.537 INFO   35006288 73.48812947441326 
2016-08-18_19:31:42.639 INFO   36038640 75.6553291911947 
2016-08-18_19:31:42.739 INFO   37011696 77.6980497822455 
2016-08-18_19:31:42.840 INFO   37984928 79.7411398472259 
2016-08-18_19:31:42.941 INFO   33756376 56.24325874836517 
2016-08-18_19:31:43.042 INFO   34891904 58.13522117703386 
2016-08-18_19:31:43.145 INFO   35865616 59.757573527961235 
2016-08-18_19:31:43.247 INFO   36868008 61.42771112280528 
2016-08-18_19:31:43.349 INFO   37961640 63.249868440625534 
2016-08-18_19:31:43.450 INFO   38830144 63.60335606949687 
2016-08-18_19:31:43.550 INFO   39930248 65.40531452799442 
2016-08-18_19:31:43.651 INFO   40959200 67.09072677973423 
2016-08-18_19:31:43.752 INFO   41954832 68.72156123170497 
2016-08-18_19:31:43.854 INFO   42936960 70.33027627767088 
2016-08-18_19:31:43.955 INFO   43918136 71.93743195792909 
2016-08-18_19:31:44.059 INFO   26758976 43.830913389945735 
2016-08-18_19:31:44.160 INFO   27780984 45.50495144475888 
2016-08-18_19:31:44.261 INFO   28778952 47.139612239474545 
2016-08-18_19:31:44.362 INFO   29786064 48.78925080733211 
2016-08-18_19:31:44.466 INFO   30804568 50.45754934802789 
