2016-08-18_19:26:01.428 INFO  220642625 304836525 
2016-08-18_19:26:01.532 INFO  220643400 304837500 
2016-08-18_19:26:01.641 INFO  220644200 304838475 
2016-08-18_19:26:01.742 INFO  220644950 304839425 
2016-08-18_19:26:01.847 INFO  220645675 304840450 
2016-08-18_19:26:01.947 INFO  220646275 304841325 
2016-08-18_19:26:02.050 INFO  220646900 304842300 
2016-08-18_19:26:02.152 INFO  220647600 304843300 
2016-08-18_19:26:02.261 INFO  220648375 304844250 
2016-08-18_19:26:02.363 INFO  220648950 304845275 
2016-08-18_19:26:02.466 INFO  220649325 304846300 
2016-08-18_19:26:02.569 INFO  220649975 304847300 
2016-08-18_19:26:02.670 INFO  220650450 304848300 
2016-08-18_19:26:02.772 INFO  220651075 304849325 
2016-08-18_19:26:02.877 INFO  220651825 304850350 
2016-08-18_19:26:02.979 INFO  220652550 304851350 
2016-08-18_19:26:03.081 INFO  220653325 304852375 
2016-08-18_19:26:03.187 INFO  220653925 304853400 
2016-08-18_19:26:03.287 INFO  220654475 304854350 
