2016-08-18_17:35:21.116 INFO   29461088 81.16889471554356 
2016-08-18_17:35:21.218 INFO   29500816 81.27835020643579 
2016-08-18_17:35:21.321 INFO   29526080 81.34795561123596 
2016-08-18_17:35:21.590 INFO   34171136 64.70947189433645 
2016-08-18_17:35:21.691 INFO   34216080 64.79458181005067 
2016-08-18_17:35:21.793 INFO   34245248 64.84981690308983 
2016-08-18_17:35:22.123 INFO   40733960 72.86566744687781 
2016-08-18_17:35:22.224 INFO   40775888 72.94066903534878 
2016-08-18_17:35:22.327 INFO   40799728 72.98331447202946 
2016-08-18_17:35:22.614 INFO   43422472 59.12184844842167 
2016-08-18_17:35:22.715 INFO   43449208 59.158250837952075 
2016-08-18_17:35:22.818 INFO   43472600 59.19010020569202 
2016-08-18_17:35:23.070 INFO   48208296 65.63798509833002 
2016-08-18_17:35:23.172 INFO   48233904 65.67285165993589 
2016-08-18_17:35:23.295 INFO   49412720 67.27786808784849 
2016-08-18_17:35:23.470 INFO   53423160 71.73044525134408 
2016-08-18_17:35:23.572 INFO   53446392 71.76163849607313 
2016-08-18_17:35:23.675 INFO   53469624 71.79283174080219 
2016-08-18_17:35:23.929 INFO   57347128 73.92621023846915 
2016-08-18_17:35:24.032 INFO   57393560 73.98606575196222 
2016-08-18_17:35:24.143 INFO   45774120 56.742938575874234 
2016-08-18_17:35:24.333 INFO   51220904 61.1482721775449 
2016-08-18_17:35:24.434 INFO   51243896 61.17572036693855 
2016-08-18_17:35:24.549 INFO   52074400 62.1671883159724 
2016-08-18_17:35:24.727 INFO   56225392 64.73038454496256 
2016-08-18_17:35:24.828 INFO   56250888 64.75973722398626 
2016-08-18_17:35:24.930 INFO   56278872 64.79195425292413 
2016-08-18_17:35:25.127 INFO   61358688 67.43554799807976 
2016-08-18_17:35:25.227 INFO   61460184 67.54709598912568 
2016-08-18_17:35:25.329 INFO   62313008 68.4843822261768 
2016-08-18_17:35:25.510 INFO   66448264 70.6261931833835 
2016-08-18_17:35:25.611 INFO   66470968 70.6503246955331 
2016-08-18_17:35:25.730 INFO   67312000 71.54423651398794 
2016-08-18_17:35:25.916 INFO   71010912 73.07133663035421 
